WaterYear,Flow_min,Flow_median,Flow_mean,Flow_max,Flow_range,Volume,Flow_mean_pct_var,Flow_max_pct_var,Flow_min_pct_var,Volume_pct_var,Flow_mean_5yr_mvCoefVar,DaysToStart,SeasonStart,MeanQ3070,ExceedanceMean,ExceedanceMedian,ExceedanceMeanQ3070,Max_week,Peak_count,Peak_weeks,Min_weeks
1924,130.2268076635365,571.4510551263401,996.9524931029692,3445.6562723883453,3315.429464724809,31.439893822495215,-10.04424965272204,-5.145064467775841,-39.69218364974407,-10.105979129983083,,24 days 00:00:00.000000000,1924-10-25,672.722688011841,0.578,0.593,0.516,27,2,"[27, 30]",[5]
1925,159.36433036475563,504.51743951998105,1121.9205212419783,4607.486825487114,4448.1224951223585,35.38088555788701,1.2317066425226464,26.838788099492454,-26.198645725458775,1.1622393732356975,,29 days 00:00:00.000000000,1925-10-30,568.0452096919905,0.433,0.732,0.743,26,1,[26],[5]
1926,193.12284525272025,571.4510551263401,994.1096038497461,3303.454729422824,3110.331884170104,31.35024046700559,-10.300765622838066,-9.059708623859288,-10.565134064934488,-10.362319073589536,19.099237383253133,23 days 00:00:00.000000000,1926-10-24,691.3146068716017,0.588,0.593,0.47500000000000003,27,2,"[27, 32]",[4]
1927,178.54218611427262,518.5349271931262,849.6314401044813,2252.949426636941,2074.4072405226684,26.86738525155994,-23.33713567899865,-37.978905692505236,-17.31741287268255,-23.179852191535446,19.614706062320387,8 days 00:00:00.000000000,1927-10-09,562.578023395764,0.7020000000000001,0.72,0.774,31,2,"[27, 31]","[2, 50]"
1928,200.7103925487956,390.8976592517362,569.2737298051485,1569.5666450868512,1368.8562525380555,17.952616343135162,-48.63401629276372,-56.7916439819326,-7.051353629934871,-48.66926468223302,15.583495501479591,28 days 00:00:00.000000000,1928-10-29,430.85320522674357,0.928,0.9590000000000001,0.9490000000000001,30,1,[30],
1929,186.6118002217732,584.9035764245523,725.3862331110877,2175.853784527441,1989.2419843056678,22.875780247391262,-34.547871295253564,-40.10125963149613,-13.580388105324733,-34.592785885760165,17.51212665604282,7 days 00:00:00.000000000,1929-10-08,622.3998708210104,0.805,0.546,0.619,34,1,[34],[2]
1930,207.0860123264856,542.3120319353056,947.8334288181821,3345.7074668016407,3138.621454475155,29.89087501121018,-14.476298636662783,-7.896539589198268,-4.09881479733591,-14.53498675118803,19.988840061422255,35 days 00:00:00.000000000,1930-11-05,577.9300239050935,0.65,0.65,0.7020000000000001,31,1,[31],[6]
1931,239.19066032867732,641.6581496004998,1069.8058389365783,3797.3405085707395,3558.149848242062,33.82982816118803,-3.470639139572783,4.536396163715944,10.768793880504047,-3.272597041182775,23.274014834884312,4 days 00:00:00.000000000,1931-10-05,722.6388300164397,0.526,0.404,0.423,26,1,[26],[2]
1932,186.6118002217732,407.2272222042244,588.2735181045649,1593.032437611127,1406.420637389354,18.551793666945553,-46.91965154144662,-56.14565782976197,-13.580388105324733,-46.95607636310093,21.285807957809368,26 days 00:00:00.000000000,1932-10-27,455.7173971156832,0.897,0.937,0.918,28,1,[28],[5]
1933,159.36433036475563,592.2327021454178,1228.7327740074047,5617.4139796282225,5458.049649263467,38.74931676109749,10.869454088132025,54.64091562624554,-26.198645725458775,10.79337319926549,22.093953277452645,22 days 00:00:00.000000000,1933-10-23,639.7615415932596,0.35100000000000003,0.51,0.588,26,1,[26],[4]
1934,175.85611591818073,575.5842672260902,955.6813050779214,3283.774797836415,3107.918681918234,30.138365636937312,-13.768179039729775,-9.601474399182402,-18.56132747825545,-13.827353080417492,24.32406197762965,21 days 00:00:00.000000000,1934-10-22,649.2369592501441,0.64,0.578,0.578,25,1,[25],[4]
1935,188.7180946975509,476.57048079076026,813.3370119573481,2506.7096108185306,2317.9915161209797,25.719668326920043,-26.61200839358398,-30.993181055930947,-12.604966664042427,-26.461443718496348,17.918414648758798,39 days 00:00:00.000000000,1935-11-09,528.9094080163721,0.722,0.784,0.794,31,2,"[28, 31]",[6]
1936,207.0860123264856,592.2327021454178,1202.457002005475,3636.51361567394,3429.4276033474544,37.92068401524463,8.498572022296763,0.10901764664763125,-4.09881479733591,8.424118081235186,14.246051044357918,12 days 00:00:00.000000000,1936-10-13,760.8401514664826,0.392,0.51,0.35100000000000003,26,2,"[22, 26]",[3]
1937,228.01195590968243,523.4188053025679,833.1156020703105,3248.562294141462,3020.5503382317797,26.27313362688934,-24.827371786793304,-10.570833935906531,5.59195460117259,-24.87895678303883,22.18881301285977,29 days 00:00:00.000000000,1937-10-30,579.6018270870529,0.712,0.68,0.6910000000000001,28,1,[28],[5]
1938,219.11865300258552,523.4188053025679,883.972348762195,2891.117890135456,2671.9992371328703,27.876951990564535,-20.238530452287097,-20.41086533138946,1.4734809313417687,-20.29326440538906,20.143725296052576,11 days 00:00:00.000000000,1938-10-12,574.9756315118423,0.671,0.68,0.712,25,1,[25],[4]
1939,216.96545287729248,751.1971581695108,1355.3934407342915,5331.4830933361045,5114.517640458812,42.86079354027604,22.298138397291783,46.76956873559614,0.47633756238947844,22.54904837682033,23.427424492798263,10 days 00:00:00.000000000,1939-10-11,814.8459364635622,0.23800000000000002,0.23800000000000002,0.279,27,1,[27],[2]
1940,228.01195590968243,518.5349271931262,958.9152250483215,3345.7074668016407,3117.6955108919583,30.240350537123863,-13.476380082895883,-7.896539589198268,5.59195460117259,-13.535754362000802,25.68874023723213,-7 days +00:00:00.000000000,1940-09-24,620.758253079636,0.629,0.72,0.629,26,1,[26],[2]
1941,188.7180946975509,429.0155916088784,653.2525651980075,2175.853784527441,1987.13568982989,20.600972896084365,-41.05654474490439,-40.10125963149613,-12.604966664042427,-41.096992950458855,25.681353559658177,4 days 00:00:00.000000000,1941-10-05,450.5963555029981,0.856,0.908,0.928,30,1,[30],[3]
1942,169.35749394086574,467.2651984550972,671.2509687843246,1683.4305970646828,1514.0731031238172,21.168570551582444,-39.43253566637644,-53.657100960084655,-21.5708284233315,-39.47409830020372,15.094331875412086,2 days 00:00:00.000000000,1942-10-03,492.18076511451335,0.836,0.794,0.846,31,2,"[29, 31]",[1]
1943,175.85611591818073,544.979267363288,930.4161929928962,2549.262847794455,2373.406731876274,29.421993021298526,-16.047868524373836,-29.82173961460547,-18.56132747825545,-15.875630190528634,14.866089641031394,24 days 00:00:00.000000000,1943-10-25,629.7153451524189,0.66,0.64,0.609,30,2,"[23, 30]",[4]
1944,193.12284525272025,504.51743951998105,1002.2445294554374,3908.4893007119,3715.3664554591796,31.606783480906643,-9.566745354127368,7.596193972777872,-10.565134064934488,-9.628802504612526,21.707604657070917,16 days 00:00:00.000000000,1944-10-17,574.5615394761455,0.5680000000000001,0.732,0.722,27,1,[27],[3]
1945,198.90708982887787,500.0951255576363,684.9984648245991,1569.5666450868512,1370.6595552579734,21.60211158670856,-38.192089075135115,-56.7916439819326,-7.886460096935874,-38.234502928804886,35.3360153353907,21 days 00:00:00.000000000,1945-10-22,596.6489240513091,0.8250000000000001,0.753,0.671,31,1,[31],[3]
1946,198.0470466931377,631.3212078617568,1249.1000005365975,4795.818222324392,4597.771175631255,39.39161761692214,12.707203787943739,32.023333827064754,-8.284744631542026,12.629861797614977,44.26274416463208,23 days 00:00:00.000000000,1946-10-24,703.3371933962877,0.33,0.433,0.454,28,1,[28],[5]
1947,261.07546534639675,775.0846522263851,1718.1670889270194,6156.058548586994,5894.983083240598,54.33256695288579,55.031469178005075,69.46917817605348,20.903610402151255,55.34953569371426,46.54436299890612,42 days 00:00:00.000000000,1947-11-12,858.4223023641962,0.073,0.20700000000000002,0.227,24,1,[24],[4]
1948,198.0470466931377,402.260470452885,463.08317999833827,916.5538782645327,718.506831571395,14.603791164427596,-58.21566702712323,-74.76833086013819,-8.284744631542026,-58.244340291724505,41.57853507118556,-1 days +00:00:00.000000000,1948-09-30,406.2191786452205,0.98,0.9490000000000001,0.97,30,1,[30],[1]
1949,169.35749394086574,565.0848087206659,1386.534360114431,5256.888969216422,5087.531475275557,43.72574758056868,25.108006258322547,44.716078696222375,-21.5708284233315,25.02215458349711,44.5947090317692,9 days 00:00:00.000000000,1949-10-10,682.7135106453529,0.217,0.609,0.485,22,2,"[22, 29]",[3]
1950,198.0470466931377,641.6581496004998,1233.3160716736918,4476.342208292831,4278.2951615996935,38.893855636301545,11.283008378319451,23.22852833300117,-8.284744631542026,11.206643700033709,40.97066557980824,19 days 00:00:00.000000000,1950-10-20,738.8788497623094,0.341,0.404,0.382,25,1,[25],[4]
1951,256.6659042898368,653.1056407416531,1602.7733947735333,6156.058548586994,5899.392644297157,50.68354139888659,44.61941201907982,69.46917817605348,18.861550067912425,44.9161168927981,17.995008263402404,8 days 00:00:00.000000000,1951-10-09,874.8093132126963,0.124,0.382,0.196,23,1,[23],[2]
1952,219.11865300258552,667.7618672124422,1500.8011189027457,5888.375322344647,5669.256669342062,47.32926408571704,35.41837921758112,62.10016828039263,1.4734809313417687,35.32545235378037,18.18400702820556,18 days 00:00:00.000000000,1952-10-19,764.5950945302955,0.176,0.35100000000000003,0.341,26,1,[26],[3]
1953,258.9286564888063,700.4402069369023,1107.4753541750133,3825.645919340985,3566.717262852179,34.9253427692632,-0.07169131414048896,5.315611413751238,19.909426818559368,-0.1402641650693307,23.795878875222098,19 days 00:00:00.000000000,1953-10-20,738.870869117248,0.464,0.33,0.392,28,1,[28],[3]
1954,213.83113399244053,821.6042165397495,1291.4736803292524,3797.3405085707395,3583.509374578299,40.7279139828633,16.53061181098769,4.536396163715944,-0.9751602596193849,16.45064611980925,23.060027341991514,18 days 00:00:00.000000000,1954-10-19,932.9751919733965,0.32,0.162,0.165,27,2,"[23, 27]",[3]
1955,250.88887595387317,859.59076477477,1781.751595156385,5693.5190498526235,5442.63017389875,56.34326164267331,60.76874553559877,56.73600026590031,16.186217928652187,61.098582793792744,43.301508337136354,19 days 00:00:00.000000000,1955-10-20,1031.7320202444773,0.052000000000000005,0.10400000000000001,0.073,32,2,"[24, 32]",[3]
1956,289.7090023536055,641.6581496004998,1530.3499596664924,9125.046264119264,8835.337261765659,48.261116328042526,38.08459266424385,151.201979154943,34.16375339629234,37.989836190199156,43.16439712745598,36 days 00:00:00.000000000,1956-11-06,677.2643417521388,0.155,0.404,0.506,23,1,[23],[3]
1957,282.51762710592186,821.6042165397495,2338.954021173079,9912.101075056224,9629.583447950301,73.7612540117142,111.045526700615,172.86868861462005,30.833439572861987,110.90070294014156,45.671923945302275,4 days 00:00:00.000000000,1957-10-05,1011.5485340611679,0.0,0.162,0.093,21,1,[21],[1]
1958,244.46260450067643,773.5352092678313,1113.2977021558015,4501.32750237501,4256.864897874334,35.10895633518531,0.45366338933650674,23.916344607192684,13.210222390025498,0.38473002925617283,44.5900076710967,19 days 00:00:00.000000000,1958-10-20,756.7618904988293,0.454,0.217,0.361,26,1,[26],[3]
1959,198.90708982887787,588.568139284985,1146.5744407204188,4795.818222324392,4596.911132495514,36.257435594237336,3.456247772643903,32.023333827064754,-7.886460096935874,3.6685012488693602,45.52440459856105,28 days 00:00:00.000000000,1959-10-29,655.32504658223,0.41300000000000003,0.526,0.5680000000000001,28,1,[28],[4]
1960,207.0860123264856,739.1856820484678,1484.8010541793594,6109.560283746436,5902.47427141995,46.824686044600284,33.97468171167743,68.18913467631279,-4.09881479733591,33.882745542657226,38.105108036267445,19 days 00:00:00.000000000,1960-10-20,779.8646794734075,0.196,0.255,0.31,28,1,[28],[4]
1961,266.40022953191016,907.3771579506157,1748.5043101345648,5632.210260458824,5365.810030926914,55.14083192440365,57.76881876693301,55.048240139590156,23.369499771397287,57.66055457400523,40.2169157861,12 days 00:00:00.000000000,1961-10-13,1052.1938267655387,0.062,0.031,0.062,28,2,"[24, 28]",[3]
1962,282.51762710592186,1111.5840397330935,2115.889366619664,7034.53654195357,6752.018914847648,66.7266870657178,90.91824028012124,93.65266220346801,30.833439572861987,90.78722827559055,43.81633015715761,22 days 00:00:00.000000000,1962-10-23,1265.831035558907,0.021,0.0,0.0,24,1,[24],[4]
1963,289.7090023536055,836.8761499139279,1021.9989181714943,2454.2146867348292,2164.5056843812235,32.31805858998624,-7.784292457025112,-32.43830565516354,34.16375339629234,-7.595100359786071,44.913659352394056,10 days 00:00:00.000000000,1963-10-11,815.2306092167589,0.547,0.124,0.269,25,2,"[25, 29]",[2]
1964,262.6513991364102,584.9035764245523,972.4176029461162,2758.9368686024773,2496.2854694660673,30.666161526508702,-12.258050680370213,-24.049656111702422,21.633422698816382,-12.318261002050091,44.02659706202198,14 days 00:00:00.000000000,1964-10-15,657.8104114172096,0.609,0.546,0.557,27,1,[27],[3]
1965,247.00311013724132,599.7991584370069,1219.3468062725058,5461.037923581306,5214.034813444065,38.45332088260973,10.022551375947355,50.336063504466054,14.386726292068431,9.947051649057856,34.308397919910995,36 days 00:00:00.000000000,1965-11-06,700.3460368536543,0.372,0.489,0.464,27,1,[27],[6]
1966,266.40022953191016,599.7991584370069,979.3131497003668,3445.6562723883453,3179.256042856435,30.883619488950735,-11.635860469076679,-5.145064467775841,23.369499771397287,-11.696497750415674,48.90606822009417,19 days 00:00:00.000000000,1966-10-20,659.9495969902416,0.598,0.489,0.537,30,1,[30],[4]
1967,256.6659042898368,882.9657604656676,1868.2022331219625,5594.069795175452,5337.403890885615,59.07703829667598,68.56924963182674,53.99827720375858,18.861550067912425,68.91509060314948,42.87153805765972,13 days 00:00:00.000000000,1967-10-14,1160.8745129362856,0.042,0.062,0.021,27,2,"[20, 27]",[2]
1968,280.87902727113044,898.4080553732097,2155.6808675866005,8571.63865618811,8290.75962891698,67.98155184021103,94.5086564250112,135.9673072017344,30.07460673589742,94.3751806034267,45.372873202945854,29 days 00:00:00.000000000,1968-10-30,1000.3783569049423,0.011,0.042,0.10400000000000001,27,1,[27],[5]
1969,335.8283516156162,877.9552657901248,1559.6737430485928,4990.690795553161,4654.862443937544,49.185871160780444,40.73049901926756,37.387950582003256,55.52154673691366,40.63392687012098,50.555686395906974,2 days 00:00:00.000000000,1969-10-03,960.8260255993355,0.145,0.083,0.145,24,1,[24],[1]
1970,320.5117836285307,729.1794589441985,1081.1554341804265,3141.2121785854492,2820.7003949569184,34.0953177723139,-2.4465568855422384,-13.526058568160499,48.42846977484972,-2.5135000551030977,57.05445922264884,17 days 00:00:00.000000000,1970-10-18,771.2350430597415,0.506,0.269,0.32,26,1,[26],[3]
1971,275.0270298988171,662.8333056803765,784.635680233795,1879.5337399159118,1604.5067100170947,24.812063334625137,-29.20175048161714,-48.25860804543116,27.36455656156245,-29.056498987439827,33.387888481435105,17 days 00:00:00.000000000,1971-10-18,666.376465741367,0.753,0.361,0.526,31,1,[31],[3]
