WaterMonth,MonthName,Month,EWRProportion_max,EWRProportion_mean,EWRProportion_median,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_mean,HeadTurbine1_median,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_mean,LevelTailwater_median,LevelTailwater_min,LevelHeadpond_max,LevelHeadpond_mean,LevelHeadpond_median,LevelHeadpond_min,Turbines_mean,Power_max,Power_mean,Power_median,Power_min,Energy_max,Energy_mean,Energy_median,Energy_min,Energy_P95,Energy_P90,Energy_P75,Energy_P25,Energy_P10,Energy_P5
1,Oct,10,0.5801449848718885,0.397072458948784,0.39943725359657184,0.2742384721859704,25.39868111242985,25.026401357447128,25.055661977096786,24.191086596346242,965.429123969443,964.7127108472473,964.7252705303371,964.4060545986174,990.0,990.0,990.0,990.0,1.0197710718002082,67.59451905215748,31.533721025358616,28.825034605841196,9.015505504976362,50290.322174805166,23461.08844286684,21445.82574674584,6707.53609570241,16900.499719773878,18206.65336257097,19034.793273450992,26776.197157771254,31428.25934699157,36528.06811261625
2,Nov,11,0.40358035891317245,0.33134060486788436,0.33554458144981425,0.21914641181747382,25.36368170531076,24.821788841702777,24.863444923118916,23.645164560751446,965.8092198107788,964.8428566287931,964.8013522198925,964.4581644721706,990.0,990.0,990.0,990.0,1.1243727598566309,86.69758780402147,40.664563246632476,37.35734378048262,22.11417186450128,62422.26321889546,29278.4855375754,26897.2875219475,15922.203742440926,19563.798133673074,21599.22827166241,23202.786223300973,32298.760966455135,40962.436309455574,45477.92027385281
3,Dec,12,0.28886229105642325,0.2420157941203022,0.24250197453245295,0.15808993353424264,25.02061840680933,24.096882843298605,24.27491319748353,22.1507778526191,967.0156018791237,965.4281879623936,965.2835437080522,964.6489233846007,990.0,990.0,990.0,990.0,1.7797433229275053,134.2687896082274,70.3316367347828,64.76681779184854,37.63874976422302,99895.97946852118,52326.73773067842,48186.512437135316,28003.229824581922,36687.57798454548,38251.79319309403,42869.82383788822,60666.09628217881,68380.68392936894,84209.78112963826
4,Jan,1,0.22261547727396802,0.17762989382082484,0.18157962589732793,0.09758435866551925,24.525441120749864,22.658887590680038,23.12501151186325,18.30231816932139,970.0721369610093,966.5943175188454,966.2302419409078,964.9945171547669,990.0,990.0,990.0,990.0,2.6212278876170645,169.0396997825202,112.2166969591022,103.37068861701657,56.292864107783096,125765.53663819502,83489.22253757197,76907.79233106031,41881.89089619062,56671.06561570163,62164.61803997169,69365.8021468001,97338.66547171514,115481.1333111983,119547.53595251562
5,Feb,2,0.1886127336508384,0.13011980292991696,0.14013490585006833,0.023961637995543118,24.048690908292052,20.24712211199603,21.153466378835418,7.467536343211876,981.3440252039787,968.6078755736279,967.7371944167578,965.4904118918612,990.5266400611466,990.0057582378636,990.0,990.0,3.42667779013719,180.34820357075677,142.91778625481476,145.52135880037739,10.191294861106817,124049.8911506056,96886.36496833466,98273.62560290747,6848.550146663782,71292.17066633663,78945.53165561549,87817.19977506477,109845.9205045137,117072.92763219342,119095.32798393835
6,Mar,3,0.18345997833295244,0.09553743781479797,0.09155342472282096,0.040247106616749455,23.277206397860887,16.658640590739928,16.346163297067914,7.651384754285072,981.0007010020307,971.8221953203865,971.938919011173,966.0837762802722,990.3671642702715,990.01246123581,990.0,990.0,3.6489767603191123,181.01974918480295,136.88178820307027,145.7561716660525,0.0,134678.69339349333,101840.05042308425,108442.59171954308,0.0,28234.38463868083,75177.43130542675,92768.86038743182,117920.18024052307,127772.97505139907,130654.8593227947
7,Apr,4,0.16531926939900385,0.085340522098178,0.08322154763841276,0.049988054216098296,22.411029939650277,15.243101037842619,14.794613716254247,8.049354084208833,980.4957879689433,973.1025664775134,973.4903077697899,966.8344438537639,990.2602205671081,990.0064903542592,990.0,990.0,3.8415770609318995,184.15645116512857,133.22827517664558,134.4090671130625,5.526190601442783,132592.6448388926,95924.35812718484,96774.52832140501,3978.857233038804,65621.49008068172,71330.26848329003,84668.38533997648,110967.03829452113,127305.49161364828,129525.72854125776
8,May,5,0.2233184011030025,0.13091199146048188,0.12844381993122048,0.06639811434433315,22.817667194969136,16.946661315333394,16.559238188416337,10.743334780884258,977.5744983818598,971.4406931999395,971.7256832976277,966.5121415624268,990.0329116767005,990.0005427189948,990.0,990.0,3.9157127991675336,181.53447374121225,149.11734842550024,151.6252513340565,90.04805726190736,135061.6484634619,110943.3072285722,112809.18699253802,66995.75460285907,85878.72930165421,90339.25343021151,102516.33992465383,121875.97023921544,127596.07608259794,130973.12464370977
9,Jun,6,0.3695889405397032,0.20009747914164402,0.19487915324163668,0.10874303722953402,24.608187338470692,20.392406699235014,20.25886933102015,15.161821034051284,973.1231004519926,968.4093732583646,968.4681577197772,964.9890761096977,990.0,990.0,990.0,990.0,3.408602150537636,170.49964629627965,143.29427388753598,156.2203577409369,45.323209265547376,122759.74533332135,103171.87719902593,112478.65757347456,32632.710671194112,50617.54630248058,71705.05010565989,95053.58432280923,118330.61914655041,120300.7198490834,120971.26177675903
10,Jul,7,0.44379519523426425,0.33625403713223123,0.336995381045096,0.20307491019780263,25.009101781553053,23.354765000097316,23.607355987993465,19.67222018139541,968.9578834958883,966.0818009418422,965.8885635471748,964.7506022440945,990.0,990.0,990.0,990.0,2.036073534512661,162.7255050931711,81.04720807085845,74.41838116579085,29.599090194833625,121067.7757893193,60299.122804718594,55367.2755873484,22021.723104956225,35800.63242357081,40917.096374459055,47509.56508228282,69638.03860873774,86455.03556768713,100370.18994027918
11,Aug,8,0.47067917932670633,0.4069891384177175,0.4096576859426494,0.304008096601418,25.26749979869136,24.35734551036526,24.396852305726814,22.91100037612528,966.4744367150976,965.2335440417244,965.1475137860111,964.5607539290855,990.0,990.0,990.0,990.0,1.284079084287201,96.65941713311051,49.566476318794436,46.900753704289336,22.44464476520018,71914.60634703422,36877.45838118305,34894.160755991266,16698.81570530893,25835.20209472886,28234.139882291915,30710.626926203826,41065.5570083401,49951.05753287013,52868.01798644745
12,Sep,9,0.4792262230661241,0.4103686873479108,0.4143868936858092,0.2993614576943838,25.389124583878036,24.802734051455676,24.883068254990626,23.915175112080302,965.6568439893507,964.880759729344,964.8320392714023,964.4780644054495,990.0,990.0,990.0,990.0,1.0702508960573476,72.7079626755165,37.25610720226808,34.538318168136016,16.517018016485718,52349.73312637185,26824.39718563301,24867.58908105793,11892.252971869711,19841.018120118362,20350.889949271117,22145.169405021807,29880.26889508264,36442.46446148876,40849.983258481545
